Cell ID,AP amplitude (mV),AP threshold (mV),AP width (ms),Adaptation ratio,After hyperpolarization (mV),Avg ISI,F I curve slope,Fast trough V (long square) (millivolts),Fast trough V (ramp) (millivolts),Fast trough V (short square) (millivolts),Input resistance (MΩ),Peak V (long square) (millivolts),Peak V (ramp) (millivolts),Peak V (short square) (millivolts),Rebound APs (number),Resting membrane potential (mV),Sag ratio,Threshold I (long square) (picoamps),Threshold I (ramp) (picoamps),Threshold I (short square) (picoamps),Threshold V (long square) (millivolts),Threshold V (ramp) (millivolts),Threshold V (short square) (millivolts),Trough V (long square) (millivolts),Trough V (ramp) (millivolts),Trough V (short square) (millivolts),Upstroke/downstroke ratio (long square),Upstroke/downstroke ratio (ramp),Upstroke/downstroke ratio (short square)
716560189,72.4843788146972,-36.0156288146972,0.5399999999999,0.112448493292011,16.515625,14.5714285714286,0.195714283684322,-53.3437538146973,-53.15625,-54.9625015258789,279.218703508377,37.4375038146973,30.9843769073486,37.0000007629395,0.0,-64.6364730834961,0.132066145539284,29.9999980926514,34.3125,290.0,-35.8437538146973,-36.9843788146973,-41.5499992370606,-53.53125,-53.2812538146973,-64.9937515258789,2.47294706037392,2.42846866923547,2.6943863357383
716562206,62.0625019073486,-28.0625019073486,1.0399999999999,-0.006826387881168,18.3437480926513,79.552,0.173691092969253,-46.40625,-41.140625,-55.3928604125977,110.468707978725,34.0,37.359375,35.78125,0.0,-67.4226280212402,0.030765501782298,220.0,247.875,890.0,-28.0625019073486,-24.28125,-28.9241065979004,-48.5312538146973,-43.75,-67.8125,4.02257216831909,3.89402311760634,2.43805969979806
716591444,47.6458373069763,-42.0937538146972,0.8066666666666,0.083517477788011,6.125,64.1946666666667,0.233571426670892,-48.7812538146973,-57.921875,-57.9375032697405,400.468856096267,6.21875047683716,22.171875,6.64453125,0.0,-74.207918548584,0.076378889381886,29.9999980926514,26.1875,450.0,-45.2812538146973,-46.6250038146973,-53.73828125,-48.90625,-60.7812538146973,-65.89453125,2.61651053700106,2.92431138842275,2.70334981959048
716591702,61.0156269073486,-37.078125,1.2499999999999,0.027287692090464,19.078125,93.52,0.1625,-55.5312538146973,-54.5937538146973,-61.6666679382324,148.749887943267,24.3750019073486,20.6875019073486,24.2708339691162,0.0,-67.6562051773071,0.038968909531832,140.0,153.375,570.0,-38.125,-37.8125,-42.5104179382324,-58.9687538146973,-58.6875038146973,-68.2291717529297,4.76644878332807,4.78139713757581,3.5744896134126
716592645,76.5625,-41.5625,0.7199999999998,0.053460268832616,3.4375,54.5223529411765,0.234285714285714,-45.0,-45.6041679382324,-46.5260429382324,316.40625,35.0,17.6354179382324,7.91666746139526,0.0,-69.6881866455078,0.237101837992668,50.0,59.2083320617676,380.0,-41.5625,-40.4270820617676,-38.40625,-51.3437538146973,-54.0416679382324,-70.6822891235352,3.55490320572977,3.69337543889012,2.4180283422651
716595024,48.7812538146972,-32.2187538146972,0.6899999999999,0.02384834227999,11.7968711853027,20.695,0.037162162162162,-44.03125,-45.5468788146973,-55.1812553405762,258.281081914901,16.1250019073486,13.5468759536743,17.1312507629394,0.0,-70.4639046408913,0.206192478537559,70.0,73.6875,420.0,-30.5937519073486,-30.4843769073486,-37.375,-44.4375,-47.265625,-71.2562484741211,2.68253037993761,2.47666568363731,2.3576387911105
716718684,48.640625,-33.03125,0.74,0.169087689568304,9.75,14.2039999999999,0.0882361142565653,-42.9687538146972,-44.5208320617675,-43.9687538146972,314.062684774398,16.34375,21.7916660308837,18.625,0.0,-69.9942345870168,0.163112625479698,50.0,59.75,350.0,-33.96875,-32.4583320617675,-42.2187538146972,-43.0937538146972,-44.8645820617675,-70.46875,3.21961611140569,3.0612812637276,3.37058993010129
716721810,51.4687538146972,-32.4375038146972,0.6599999999999,0.157019507515189,12.75,31.27,0.0649999917984013,-45.1875038146972,0.0,-51.6875038146972,173.437297344207,19.03125,0.0,22.2968764305114,0.0,-70.9504747390747,0.115431822836399,119.999992370605,0.0,420.0,-32.4375038146972,0.0,-46.4218769073486,-46.3125038146972,0.0,-71.7500038146972,2.68806407598376,0.0,2.87307218204555
716729379,72.1250038146972,-38.4062538146972,0.839999999999899,0.818537859007833,9.09375,260.44,0.06500000219345,-47.5000038146973,-46.0,-55.53125,227.343544363975,33.71875,32.1979179382324,33.046875,0.0,-78.3308868408203,0.071868859231472,59.9999961853027,62.2083320617676,310.0,-38.4062538146973,-38.2500038146973,-50.4375,-52.3125,-49.46875,-78.421875,2.87281006863894,2.67916382664867,2.67443874907722
716746196,56.7500047683715,-42.4062538146972,0.7399999999999,0.03123560345584,7.93749618530272,24.03,0.013571428038149,-50.34375,0.0,-54.3645820617676,264.687478542327,14.3437509536743,0.0,26.3437519073486,0.0,-65.5624830457899,0.081698469817638,40.0,0.0,260.0,-42.4062538146973,0.0,-46.90625,-51.0000038146973,0.0,-66.15625,3.21330677917554,0.0,3.4430902244079
716756437,70.2500019073486,-40.84375,0.68,0.070068384946066,10.1562538146972,41.1566666666667,0.045608108108108,-51.0000038146973,-54.03125,-58.6979179382324,169.531315565109,29.4062519073486,29.8125019073486,31.3177089691162,0.0,-78.5869216918945,0.045587815344334,70.0,70.5625,380.0,-40.84375,-40.4375038146973,-50.7135467529297,-54.0312538146973,-55.5781288146973,-78.515625,3.52729531478127,3.37300226212322,3.13413478010825
716759465,69.203125,-33.16015625,0.762499999999899,0.0190912179005275,13.53515625,37.4707692307692,0.439285752997107,-50.2187538146972,-48.2291692097981,-52.5875015258789,304.843842983245,40.7812538146972,34.7812538146972,35.9125015258789,0.0,-65.9209037780761,0.0902143493294715,80.0,46.7916679382324,400.0,-39.3750038146972,-36.6666679382324,-42.4875022888183,-50.34375,-48.9270820617675,-66.0250015258789,2.72780402400981,3.17078880683074,2.75486502345344
716760772,60.0156307220459,-32.7031288146972,0.6899999999999,0.055831132560747,12.546875,49.8683333333333,0.276428571428571,-45.6562538146973,-48.2968788146973,-58.6187553405762,167.031124234199,28.5312519073486,31.15625,34.1687507629394,0.0,-75.4896369934082,0.145728960633278,110.0,103.75,400.0,-33.5312538146973,-32.125,-47.6437492370606,-45.9062538146973,-48.5000038146973,-76.2874984741211,3.00406491225289,2.66292352766224,2.81475303373872
716832846,51.1875,-33.28125,1.0399999999999,-0.000382832541416,21.8125038146972,89.298,0.150714285457376,-55.0937538146973,-54.8281288146973,-63.9444427490234,129.218712449073,17.90625,16.0156269073486,10.3194446563721,0.0,-77.7006691826715,0.007143444847316,170.0,162.75,800.0,-33.28125,-33.8125,-31.3576431274414,-58.1250038146973,-59.015625,-79.3958358764648,3.18014281959574,3.05910968257994,2.03363348738775
716838742,41.203125,-30.0625,1.6199999999999,0.006103985154058,12.8437538146972,90.384,0.103153988868275,-44.1562538146973,-51.515625,-62.015625,106.249921023845,10.75,28.9218769073486,28.921875,0.0,-73.387592569987,-0.010460603050888,190.0,237.9375,850.0,-30.90625,-33.4375,-37.1302108764648,-48.96875,-54.0625,-72.4947891235352,3.09211902892073,4.93512812724259,2.70555327751333
716842039,60.6406269073486,-37.1875,0.57,0.112374747142119,7.64062881469727,16.92,0.024662162162162,-46.3125038146973,-47.5937538146973,-56.2343788146973,227.031096816062,25.1562519073486,20.90625,29.7812519073486,0.0,-74.0483154296875,0.336801290512085,70.0,71.75,450.0,-38.9375,-39.0625,-46.3515625,-46.4375,-50.1875038146973,-75.1484451293945,2.75293865110619,2.72700418726092,2.34919495083102
716842736,67.4375057220459,-29.0937519073486,0.8599999999998,0.0,4.93750190734862,0.0,0.091071428571429,-34.0312538146973,-30.9062519073486,-48.375,174.68748986721,38.3437538146973,-28.0625,36.046875,0.0,-64.7593530019124,0.089574545621872,150.0,200.1875,479.999969482422,-29.0937519073486,-30.8437519073486,-35.5,-39.78125,-31.8125,-64.5625,5.04399870000405,1.03149212268983,4.24286373692222
716846357,37.3928594589233,-23.7812519073486,1.6657142857142,0.011889430317436,17.3258914947509,55.9058823529412,0.151825635736543,-41.3125,-44.4166679382324,-49.921875,138.750031590461,13.3750009536743,25.3854160308838,37.9375,0.0,-67.9005872938368,0.036077622324228,100.0,97.25,800.0,-23.3437519073486,-25.96875,-31.6250038146973,-44.5625038146973,-48.4375,-70.90625,2.73263446821671,3.44773575533096,2.89448350010629
716846733,44.7187519073486,-21.65625,1.0000000000001,0.227209367159186,0.75,35.87,0.103571428571429,-22.40625,-21.15625,-35.6015625,246.71870470047,23.0625019073486,53.7187538146973,43.4609401226044,0.0,-61.2703789605035,0.087012954056263,130.0,165.125,450.0,-21.65625,-15.0625009536743,-23.5390625,-28.2812519073486,-27.75,-61.7109375,4.41385006256934,4.9997201601909,3.80031664965417
716855459,56.1875,-29.1875,1.4999999999998,-0.003335578520479,21.8437538146972,122.257142857143,0.096195652173913,-51.0312538146973,-50.875,-62.109375,120.156325399875,27.0,28.15625,26.0625019073486,0.0,-73.3838424682617,0.057309474796057,130.0,144.0,780.0,-29.1875,-28.7812519073486,-32.1875038146973,-55.3750038146973,-54.5000038146973,-73.875,4.55608675711179,4.40781001213061,2.65804921924502
