Cell ID,After depolarization (mV),ISI adaptation index,Max number of APs,Membrane time constant (ms),Sex,Spike frequency adaptation,Upstroke-to-downstroke ratio,VISp_T_1,VISp_T_2,VISp_T_3,CTKE_T_1,CTKE_T_2,CTKE_T_3,VISp_MET_1,VISp_MET_2,VISp_MET_3
Q2C145,0.0,1.70691823899371,16,14.4773400116726,F,0.777777777777777,2.35580843815874,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C146,0.0,1.30958904109589,39,13.8022120434661,F,0.772727272727272,1.16832249144237,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C147,0.0,1.0950323974082,76,14.4480372697184,M,0.868421052631579,0.931953023584136,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C148,0.0,1.24038461538461,61,8.5488192295688,F,0.764705882352941,1.21456169650252,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C149,0.0,1.09448818897637,152,5.8892708643545,M,0.935897435897435,0.72562949914108,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C150,0.0,1.13733905579399,53,16.4466328170312,F,0.709677419354838,0.983001730887385,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C151,0.0,4.01632047477745,24,11.8942167213668,F,0.714285714285714,2.36814777903564,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C152,0.0,1.28415300546448,6,19.7600391207899,M,0.2,1.0774702024903,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C153,0.0,1.04479999999999,39,12.4110871275678,M,1.05263157894736,1.0217110926714,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C154,0.0,0.919447640966627,47,13.1664968861092,M,0.678571428571428,1.46607821885067,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C155,0.720508396625518,1.24336533032185,48,9.42448613382945,M,0.807692307692307,2.13453830614284,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C156,0.0,7.85185185185184,30,11.0251603337509,F,0.8125,2.62455637006458,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C157,0.0,1.26385224274406,25,18.8087645692976,M,0.5625,1.59903467644151,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C158,0.0,0.986891385767788,92,9.32609686200779,M,0.857142857142857,0.925722493013063,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C159,0.0,1.17263843648208,24,16.076415136064,M,0.5,1.66130472941026,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C160,0.0,1.43396226415094,26,23.863635959117,M,0.444444444444444,1.34347019014211,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C161,0.0,1.03676470588235,32,15.5241004924577,M,0.684210526315789,1.27646575807411,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C162,0.0,1.39337474120083,54,11.2064698936711,M,0.8,1.1927073725494,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C163,0.0,1.58128078817734,24,12.7538452859571,M,0.6,1.33070747861168,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C164,0.0,1.33695652173912,33,13.9833203865869,F,0.571428571428571,1.41471328875226,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C165,0.0,1.27388535031847,26,13.02669805253,F,0.529411764705882,1.44577911856425,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C166,1.12883746623992,1.35138888888888,12,10.7349900906483,F,0.2,2.27618224848896,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C167,0.0,1.18064516129032,61,11.2795677195844,M,0.875,1.14345453887404,unk,unk,unk,unk,unk,unk,unk,unk,unk
